 Hz,A
        305.20000000,           .01466519
        305.60000000,           .01464600
        306.00000000,           .01462685
        306.40000000,           .01460776
        306.80000000,           .01458872
        307.20000000,           .01456973
        307.60000000,           .01455079
        308.00000000,           .01453189
        308.40000000,           .01451305
        308.80000000,           .01449425
        309.20000000,           .01447550
        309.60000000,           .01445681
        310.00000000,           .01443815
        310.40000000,           .01441955
        310.80000000,           .01440100
        311.20000000,           .01438249
        311.60000000,           .01436403
        312.00000000,           .01434562
        312.40000000,           .01432725
        312.80000000,           .01430894
        313.20000000,           .01429066
        313.60000000,           .01427244
        314.00000000,           .01425426
        314.40000000,           .01423613
        314.80000000,           .01421804
        315.20000000,           .01420000
        315.60000000,           .01418201
        316.00000000,           .01416406
        316.40000000,           .01414616
        316.80000000,           .01412830
        317.20000000,           .01411049
        317.60000000,           .01409272
        318.00000000,           .01407499
        318.40000000,           .01405731
        318.80000000,           .01403968
        319.20000000,           .01402209
        319.60000000,           .01400454
        320.00000000,           .01398704
        320.40000000,           .01396958
        320.80000000,           .01395217
        321.20000000,           .01393479
        321.60000000,           .01391746
        322.00000000,           .01390018
        322.40000000,           .01388294
        322.80000000,           .01386574
        323.20000000,           .01384858
        323.60000000,           .01383146
        324.00000000,           .01381439
        324.40000000,           .01379736
        324.80000000,           .01378037
        325.20000000,           .01376342
        325.60000000,           .01374652
        326.00000000,           .01372965
        326.40000000,           .01371283
        326.80000000,           .01369605
        327.20000000,           .01367931
        327.60000000,           .01366261
        328.00000000,           .01364595
        328.40000000,           .01362933
        328.80000000,           .01361275
        329.20000000,           .01359621
        329.60000000,           .01357972
        330.00000000,           .01356326
        330.40000000,           .01354684
        330.80000000,           .01353046
        331.20000000,           .01351412
        331.60000000,           .01349783
        332.00000000,           .01348157
        332.40000000,           .01346534
        332.80000000,           .01344916
        333.20000000,           .01343302
        333.60000000,           .01341692
        334.00000000,           .01340085
        334.40000000,           .01338482
        334.80000000,           .01336883
        335.20000000,           .01335288
        335.60000000,           .01333697
        336.00000000,           .01332110
        336.40000000,           .01330526
        336.80000000,           .01328946
        337.20000000,           .01327370
        337.60000000,           .01325797
        338.00000000,           .01324228
        338.40000000,           .01322663
        338.80000000,           .01321102
        339.20000000,           .01319544
        339.60000000,           .01317990
        340.00000000,           .01316440
        340.40000000,           .01314893
        340.80000000,           .01313350
        341.20000000,           .01311811
        341.60000000,           .01310275
        342.00000000,           .01308743
        342.40000000,           .01307214
        342.80000000,           .01305689
        343.20000000,           .01304167
        343.60000000,           .01302649
        344.00000000,           .01301135
        344.40000000,           .01299624
        344.80000000,           .01298116
        345.20000000,           .01296612
        345.60000000,           .01295112
        346.00000000,           .01293615
        346.40000000,           .01292121
        346.80000000,           .01290631
        347.20000000,           .01289145
        347.60000000,           .01287661
        348.00000000,           .01286181
        348.40000000,           .01284705
        348.80000000,           .01283232
        349.20000000,           .01281762
        349.60000000,           .01280296
        350.00000000,           .01278833
        350.40000000,           .01277373
        350.80000000,           .01275917
        351.20000000,           .01274464
        351.60000000,           .01273014
        352.00000000,           .01271568
        352.40000000,           .01270125
        352.80000000,           .01268685
        353.20000000,           .01267248
        353.60000000,           .01265815
        354.00000000,           .01264385
        354.40000000,           .01262958
        354.80000000,           .01261534
        355.20000000,           .01260114
        355.60000000,           .01258697
        356.00000000,           .01257283
        356.40000000,           .01255872
        356.80000000,           .01254464
        357.20000000,           .01253059
        357.60000000,           .01251658
        358.00000000,           .01250260
        358.40000000,           .01248864
        358.80000000,           .01247472
        359.20000000,           .01246083
        359.60000000,           .01244697
        360.00000000,           .01243315
        360.40000000,           .01241935
        360.80000000,           .01240558
        361.20000000,           .01239185
        361.60000000,           .01237814
        362.00000000,           .01236446
        362.40000000,           .01235082
        362.80000000,           .01233720
        363.20000000,           .01232362
        363.60000000,           .01231006
        364.00000000,           .01229654
        364.40000000,           .01228304
        364.80000000,           .01226957
        365.20000000,           .01225614
        365.60000000,           .01224273
        366.00000000,           .01222935
        366.40000000,           .01221600
        366.80000000,           .01220268
        367.20000000,           .01218939
        367.60000000,           .01217613
        368.00000000,           .01216290
        368.40000000,           .01214969
        368.80000000,           .01213651
        369.20000000,           .01212337
        369.60000000,           .01211025
        370.00000000,           .01209716
        370.40000000,           .01208410
        370.80000000,           .01207106
        371.20000000,           .01205806
        371.60000000,           .01204508
        372.00000000,           .01203213
        372.40000000,           .01201921
        372.80000000,           .01200631
        373.20000000,           .01199344
        373.60000000,           .01198060
        374.00000000,           .01196779
        374.40000000,           .01195501
        374.80000000,           .01194225
        375.20000000,           .01192952
        375.60000000,           .01191682
        376.00000000,           .01190414
        376.40000000,           .01189149
        376.80000000,           .01187887
        377.20000000,           .01186628
        377.60000000,           .01185371
        378.00000000,           .01184116
        378.40000000,           .01182865
        378.80000000,           .01181616
        379.20000000,           .01180370
        379.60000000,           .01179126
        380.00000000,           .01177885
        380.40000000,           .01176647
        380.80000000,           .01175411
        381.20000000,           .01174178
        381.60000000,           .01172947
        382.00000000,           .01171719
        382.40000000,           .01170493
        382.80000000,           .01169270
        383.20000000,           .01168050
        383.60000000,           .01166832
        384.00000000,           .01165617
        384.40000000,           .01164404
        384.80000000,           .01163194
        385.20000000,           .01161986
        385.60000000,           .01160781
