 Hz,A/m,Oe
        154.80000000,         82.69387368,          1.03916189
        155.20000000,         82.48089893,          1.03648557
        155.60000000,         82.26901798,          1.03382300
        156.00000000,         82.05822244,          1.03117406
        156.40000000,         81.84850399,          1.02853866
        156.80000000,         81.63985440,          1.02591670
        157.20000000,         81.43226551,          1.02330806
        157.60000000,         81.22572926,          1.02071265
        158.00000000,         81.02023768,          1.01813036
        158.40000000,         80.81578285,          1.01556111
        158.80000000,         80.61235695,          1.01300478
        159.20000000,         80.40995224,          1.01046129
        159.60000000,         80.20856106,          1.00793053
        160.00000000,         80.00817580,          1.00541242
        160.40000000,         79.80878895,          1.00290685
        160.80000000,         79.61039308,          1.00041373
        161.20000000,         79.41298081,           .99793298
        161.60000000,         79.21654486,           .99546449
        162.00000000,         79.02107799,           .99300818
        162.40000000,         78.82657307,           .99056396
        162.80000000,         78.63302299,           .98813174
        163.20000000,         78.44042077,           .98571143
        163.60000000,         78.24875944,           .98330294
        164.00000000,         78.05803215,           .98090619
        164.40000000,         77.86823206,           .97852109
        164.80000000,         77.67935246,           .97614756
        165.20000000,         77.49138665,           .97378551
        165.60000000,         77.30432802,           .97143486
        166.00000000,         77.11817002,           .96909553
        166.40000000,         76.93290618,           .96676744
        166.80000000,         76.74853005,           .96445050
        167.20000000,         76.56503528,           .96214464
        167.60000000,         76.38241557,           .95984977
        168.00000000,         76.20066467,           .95756582
        168.40000000,         76.01977641,           .95529271
        168.80000000,         75.83974464,           .95303036
        169.20000000,         75.66056332,           .95077871
        169.60000000,         75.48222642,           .94853766
        170.00000000,         75.30472800,           .94630715
        170.40000000,         75.12806215,           .94408710
        170.80000000,         74.95222304,           .94187744
        171.20000000,         74.77720488,           .93967810
        171.60000000,         74.60300192,           .93748900
        172.00000000,         74.42960850,           .93531007
        172.40000000,         74.25701898,           .93314125
        172.80000000,         74.08522779,           .93098246
        173.20000000,         73.91422940,           .92883363
        173.60000000,         73.74401834,           .92669469
        174.00000000,         73.57458919,           .92456558
        174.40000000,         73.40593656,           .92244623
        174.80000000,         73.23805515,           .92033657
        175.20000000,         73.07093966,           .91823653
        175.60000000,         72.90458487,           .91614606
        176.00000000,         72.73898560,           .91406508
        176.40000000,         72.57413673,           .91199352
        176.80000000,         72.41003315,           .90993134
        177.20000000,         72.24666983,           .90787845
        177.60000000,         72.08404177,           .90583481
        178.00000000,         71.92214402,           .90380034
        178.40000000,         71.76097167,           .90177499
        178.80000000,         71.60051987,           .89975869
        179.20000000,         71.44078379,           .89775139
        179.60000000,         71.28175865,           .89575302
        180.00000000,         71.12343971,           .89376353
        180.40000000,         70.96582230,           .89178285
        180.80000000,         70.80890175,           .88981093
        181.20000000,         70.65267345,           .88784770
        181.60000000,         70.49713285,           .88589312
        182.00000000,         70.34227539,           .88394713
        182.40000000,         70.18809661,           .88200966
        182.80000000,         70.03459204,           .88008066
        183.20000000,         69.88175727,           .87816009
        183.60000000,         69.72958794,           .87624787
        184.00000000,         69.57807970,           .87434396
        184.40000000,         69.42722826,           .87244831
        184.80000000,         69.27702935,           .87056085
        185.20000000,         69.12747876,           .86868154
        185.60000000,         68.97857230,           .86681033
        186.00000000,         68.83030581,           .86494716
        186.40000000,         68.68267518,           .86309198
        186.80000000,         68.53567633,           .86124473
        187.20000000,         68.38930521,           .85940538
        187.60000000,         68.24355781,           .85757386
        188.00000000,         68.09843016,           .85575014
        188.40000000,         67.95391830,           .85393415
        188.80000000,         67.81001834,           .85212585
        189.20000000,         67.66672639,           .85032519
        189.60000000,         67.52403860,           .84853212
        190.00000000,         67.38195118,           .84674659
        190.40000000,         67.24046033,           .84496857
        190.80000000,         67.09956230,           .84319799
        191.20000000,         66.95925339,           .84143482
        191.60000000,         66.81952990,           .83967900
        192.00000000,         66.68038818,           .83793049
        192.40000000,         66.54182461,           .83618925
        192.80000000,         66.40383558,           .83445523
        193.20000000,         66.26641754,           .83272839
        193.60000000,         66.12956695,           .83100867
        194.00000000,         65.99328029,           .82929604
        194.40000000,         65.85755410,           .82759046
        194.80000000,         65.72238493,           .82589187
        195.20000000,         65.58776934,           .82420024
        195.60000000,         65.45370396,           .82251552
        196.00000000,         65.32018541,           .82083768
        196.40000000,         65.18721035,           .81916667
        196.80000000,         65.05477548,           .81750244
        197.20000000,         64.92287751,           .81584496
        197.60000000,         64.79151318,           .81419419
        198.00000000,         64.66067927,           .81255008
        198.40000000,         64.53037256,           .81091260
        198.80000000,         64.40058988,           .80928170
        199.20000000,         64.27132807,           .80765735
        199.60000000,         64.14258400,           .80603951
        200.00000000,         64.01435458,           .80442813
        200.40000000,         63.88663671,           .80282318
        200.80000000,         63.75942736,           .80122462
        201.20000000,         63.63272348,           .79963241
        201.60000000,         63.50652207,           .79804651
        202.00000000,         63.38082015,           .79646690
        202.40000000,         63.25561475,           .79489352
        202.80000000,         63.13090295,           .79332635
        203.20000000,         63.00668183,           .79176534
        203.60000000,         62.88294851,           .79021046
        204.00000000,         62.75970010,           .78866167
        204.40000000,         62.63693378,           .78711895
        204.80000000,         62.51464672,           .78558224
        205.20000000,         62.39283611,           .78405152
        205.60000000,         62.27149918,           .78252676
        206.00000000,         62.15063317,           .78100791
        206.40000000,         62.03023535,           .77949495
        206.80000000,         61.91030300,           .77798783
        207.20000000,         61.79083343,           .77648653
        207.60000000,         61.67182396,           .77499102
        208.00000000,         61.55327194,           .77350125
        208.40000000,         61.43517475,           .77201720
        208.80000000,         61.31752976,           .77053883
        209.20000000,         61.20033439,           .76906611
        209.60000000,         61.08358607,           .76759900
        210.00000000,         60.96728224,           .76613749
        210.40000000,         60.85142037,           .76468152
        210.80000000,         60.73599794,           .76323108
        211.20000000,         60.62101246,           .76178613
        211.60000000,         60.50646146,           .76034664
        212.00000000,         60.39234247,           .75891258
        212.40000000,         60.27865307,           .75748392
        212.80000000,         60.16539082,           .75606062
        213.20000000,         60.05255332,           .75464266
        213.60000000,         59.94013820,           .75323001
        214.00000000,         59.82814308,           .75182264
        214.40000000,         59.71656561,           .75042052
        214.80000000,         59.60540347,           .74902361
        215.20000000,         59.49465434,           .74763190
        215.60000000,         59.38431592,           .74624534
        216.00000000,         59.27438593,           .74486392
        216.40000000,         59.16486211,           .74348761
        216.80000000,         59.05574221,           .74211636
        217.20000000,         58.94702401,           .74075017
        217.60000000,         58.83870529,           .73938900
        218.00000000,         58.73078384,           .73803282
        218.40000000,         58.62325750,           .73668160
        218.80000000,         58.51612409,           .73533532
        219.20000000,         58.40938147,           .73399396
        219.60000000,         58.30302750,           .73265747
        220.00000000,         58.19706006,           .73132585
        220.40000000,         58.09147706,           .72999905
        220.80000000,         57.98627639,           .72867706
        221.20000000,         57.88145600,           .72735985
        221.60000000,         57.77701381,           .72604739
        222.00000000,         57.67294780,           .72473966
        222.40000000,         57.56925592,           .72343663
        222.80000000,         57.46593618,           .72213827
        223.20000000,         57.36298656,           .72084457
        223.60000000,         57.26040508,           .71955549
        224.00000000,         57.15818978,           .71827102
        224.40000000,         57.05633869,           .71699112
        224.80000000,         56.95484987,           .71571577
        225.20000000,         56.85372140,           .71444495
        225.60000000,         56.75295135,           .71317864
        226.00000000,         56.65253783,           .71191681
        226.40000000,         56.55247895,           .71065943
        226.80000000,         56.45277283,           .70940649
        227.20000000,         56.35341761,           .70815795
        227.60000000,         56.25441144,           .70691380
        228.00000000,         56.15575249,           .70567402
        228.40000000,         56.05743893,           .70443857
        228.80000000,         55.95946895,           .70320745
        229.20000000,         55.86184076,           .70198061
        229.60000000,         55.76455256,           .70075805
        230.00000000,         55.66760260,           .69953974
        230.40000000,         55.57098910,           .69832566
        230.80000000,         55.47471031,           .69711579
        231.20000000,         55.37876451,           .69591010
        231.60000000,         55.28314997,           .69470857
        232.00000000,         55.18786497,           .69351118
        232.40000000,         55.09290782,           .69231792
        232.80000000,         54.99827683,           .69112875
        233.20000000,         54.90397031,           .68994366
        233.60000000,         54.80998661,           .68876262
        234.00000000,         54.71632406,           .68758563
        234.40000000,         54.62298103,           .68641264
        234.80000000,         54.52995588,           .68524365
        235.20000000,         54.43724700,           .68407864
        235.60000000,         54.34485277,           .68291758
        236.00000000,         54.25277159,           .68176045
