 Hz,vind,vres
         97.00000000,          2.90793197,         13.36429117
         97.20000000,          2.90821501,         13.39184641
         97.40000000,          2.90849639,         13.41940165
         97.60000000,          2.90877611,         13.44695689
         97.80000000,          2.90905421,         13.47451213
         98.00000000,          2.90933068,         13.50206737
         98.20000000,          2.90960554,         13.52962261
         98.40000000,          2.90987881,         13.55717785
         98.60000000,          2.91015049,         13.58473309
         98.80000000,          2.91042060,         13.61228833
         99.00000000,          2.91068915,         13.63984357
         99.20000000,          2.91095615,         13.66739881
         99.40000000,          2.91122161,         13.69495405
         99.60000000,          2.91148554,         13.72250929
         99.80000000,          2.91174796,         13.75006453
        100.00000000,          2.91200888,         13.77761977
        100.20000000,          2.91226831,         13.80517501
        100.40000000,          2.91252626,         13.83273025
        100.60000000,          2.91278274,         13.86028548
        100.80000000,          2.91303776,         13.88784072
        101.00000000,          2.91329133,         13.91539596
        101.20000000,          2.91354347,         13.94295120
        101.40000000,          2.91379418,         13.97050644
        101.60000000,          2.91404348,         13.99806168
        101.80000000,          2.91429137,         14.02561692
        102.00000000,          2.91453787,         14.05317216
        102.20000000,          2.91478298,         14.08072740
        102.40000000,          2.91502672,         14.10828264
        102.60000000,          2.91526910,         14.13583788
        102.80000000,          2.91551013,         14.16339312
        103.00000000,          2.91574981,         14.19094836
        103.20000000,          2.91598815,         14.21850360
        103.40000000,          2.91622518,         14.24605884
        103.60000000,          2.91646089,         14.27361408
        103.80000000,          2.91669529,         14.30116932
        104.00000000,          2.91692840,         14.32872456
        104.20000000,          2.91716023,         14.35627980
        104.40000000,          2.91739077,         14.38383504
        104.60000000,          2.91762006,         14.41139028
        104.80000000,          2.91784808,         14.43894551
        105.00000000,          2.91807485,         14.46650075
        105.20000000,          2.91830039,         14.49405599
        105.40000000,          2.91852469,         14.52161123
        105.60000000,          2.91874778,         14.54916647
        105.80000000,          2.91896964,         14.57672171
        106.00000000,          2.91919031,         14.60427695
        106.20000000,          2.91940978,         14.63183219
        106.40000000,          2.91962806,         14.65938743
        106.60000000,          2.91984516,         14.68694267
        106.80000000,          2.92006109,         14.71449791
        107.00000000,          2.92027586,         14.74205315
        107.20000000,          2.92048948,         14.76960839
        107.40000000,          2.92070195,         14.79716363
        107.60000000,          2.92091328,         14.82471887
