 Hertz,Farad,V across C
        370.92600000,           .00001001,        514.59581071
        371.92580000,           .00000995,        515.98286067
        372.92560000,           .00000990,        517.36991062
        373.92540000,           .00000985,        518.75696058
        374.92520000,           .00000979,        520.14401053
        375.92500000,           .00000974,        521.53106049
        376.92480000,           .00000969,        522.91811044
        377.92460000,           .00000964,        524.30516040
        378.92440000,           .00000959,        525.69221035
        379.92420000,           .00000954,        527.07926031
        380.92400000,           .00000949,        528.46631026
        381.92380000,           .00000944,        529.85336021
        382.92360000,           .00000939,        531.24041017
        383.92340000,           .00000934,        532.62746012
        384.92320000,           .00000929,        534.01451008
        385.92300000,           .00000924,        535.40156003
        386.92280000,           .00000920,        536.78860999
        387.92260000,           .00000915,        538.17565994
        388.92240000,           .00000910,        539.56270990
        389.92220000,           .00000905,        540.94975985
        390.92200000,           .00000901,        542.33680981
        391.92180000,           .00000896,        543.72385976
        392.92160000,           .00000892,        545.11090972
        393.92140000,           .00000887,        546.49795967
        394.92120000,           .00000883,        547.88500963
        395.92100000,           .00000878,        549.27205958
        396.92080000,           .00000874,        550.65910954
        397.92060000,           .00000869,        552.04615949
        398.92040000,           .00000865,        553.43320945
        399.92020000,           .00000861,        554.82025940
        400.92000000,           .00000856,        556.20730936
        401.91980000,           .00000852,        557.59435931
        402.91960000,           .00000848,        558.98140927
        403.91940000,           .00000844,        560.36845922
        404.91920000,           .00000840,        561.75550918
        405.91900000,           .00000835,        563.14255913
        406.91880000,           .00000831,        564.52960909
        407.91860000,           .00000827,        565.91665904
        408.91840000,           .00000823,        567.30370900
        409.91820000,           .00000819,        568.69075895
        410.91800000,           .00000815,        570.07780891
        411.91780000,           .00000811,        571.46485886
        412.91760000,           .00000807,        572.85190882
        413.91740000,           .00000804,        574.23895877
        414.91720000,           .00000800,        575.62600872
        415.91700000,           .00000796,        577.01305868
        416.91680000,           .00000792,        578.40010863
        417.91660000,           .00000788,        579.78715859
        418.91640000,           .00000784,        581.17420854
        419.91620000,           .00000781,        582.56125850
        420.91600000,           .00000777,        583.94830845
        421.91580000,           .00000773,        585.33535841
        422.91560000,           .00000770,        586.72240836
        423.91540000,           .00000766,        588.10945832
        424.91520000,           .00000762,        589.49650827
        425.91500000,           .00000759,        590.88355823
        426.91480000,           .00000755,        592.27060818
        427.91460000,           .00000752,        593.65765814
        428.91440000,           .00000748,        595.04470809
        429.91420000,           .00000745,        596.43175805
        430.91400000,           .00000741,        597.81880800
        431.91380000,           .00000738,        599.20585796
        432.91360000,           .00000735,        600.59290791
        433.91340000,           .00000731,        601.97995787
        434.91320000,           .00000728,        603.36700782
        435.91300000,           .00000724,        604.75405778
        436.91280000,           .00000721,        606.14110773
        437.91260000,           .00000718,        607.52815769
        438.91240000,           .00000715,        608.91520764
        439.91220000,           .00000711,        610.30225760
        440.91200000,           .00000708,        611.68930755
        441.91180000,           .00000705,        613.07635751
        442.91160000,           .00000702,        614.46340746
        443.91140000,           .00000699,        615.85045742
        444.91120000,           .00000695,        617.23750737
        445.91100000,           .00000692,        618.62455732
        446.91080000,           .00000689,        620.01160728
        447.91060000,           .00000686,        621.39865723
        448.91040000,           .00000683,        622.78570719
        449.91020000,           .00000680,        624.17275714
        450.91000000,           .00000677,        625.55980710
        451.90980000,           .00000674,        626.94685705
        452.90960000,           .00000671,        628.33390701
        453.90940000,           .00000668,        629.72095696
        454.90920000,           .00000665,        631.10800692
        455.90900000,           .00000662,        632.49505687
        456.90880000,           .00000659,        633.88210683
        457.90860000,           .00000657,        635.26915678
        458.90840000,           .00000654,        636.65620674
